oneday,hour,call_type,n,data_usage_kb,dow,week_weekend
2018-01-19,0,NA,NA,NA,Fri,Weekday
2018-01-19,1,NA,NA,NA,Fri,Weekday
2018-01-19,2,NA,NA,NA,Fri,Weekday
2018-01-19,3,NA,NA,NA,Fri,Weekday
2018-01-19,4,NA,NA,NA,Fri,Weekday
2018-01-19,5,NA,NA,NA,Fri,Weekday
2018-01-19,6,NA,NA,NA,Fri,Weekday
2018-01-19,7,NA,NA,NA,Fri,Weekday
2018-01-19,8,NA,NA,NA,Fri,Weekday
2018-01-19,9,Phone Call,1,0,Fri,Weekday
2018-01-19,10,NA,NA,NA,Fri,Weekday
2018-01-19,11,NA,NA,NA,Fri,Weekday
2018-01-19,12,NA,NA,NA,Fri,Weekday
2018-01-19,13,NA,NA,NA,Fri,Weekday
2018-01-19,14,Phone Call,1,0,Fri,Weekday
2018-01-19,15,NA,NA,NA,Fri,Weekday
2018-01-19,16,NA,NA,NA,Fri,Weekday
2018-01-19,17,NA,NA,NA,Fri,Weekday
2018-01-19,18,NA,NA,NA,Fri,Weekday
2018-01-19,19,Data,1,6.933504,Fri,Weekday
2018-01-19,19,Text Message,4,0,Fri,Weekday
2018-01-19,20,NA,NA,NA,Fri,Weekday
2018-01-19,21,Text Message,1,0,Fri,Weekday
2018-01-19,22,Text Message,2,0,Fri,Weekday
2018-01-19,23,NA,NA,NA,Fri,Weekday
2018-01-20,0,NA,NA,NA,Sat,Weekend
2018-01-20,1,NA,NA,NA,Sat,Weekend
2018-01-20,2,NA,NA,NA,Sat,Weekend
2018-01-20,3,NA,NA,NA,Sat,Weekend
2018-01-20,4,NA,NA,NA,Sat,Weekend
2018-01-20,5,NA,NA,NA,Sat,Weekend
2018-01-20,6,NA,NA,NA,Sat,Weekend
2018-01-20,7,NA,NA,NA,Sat,Weekend
2018-01-20,8,Text Message,2,0,Sat,Weekend
2018-01-20,9,NA,NA,NA,Sat,Weekend
2018-01-20,10,Text Message,1,0,Sat,Weekend
2018-01-20,11,NA,NA,NA,Sat,Weekend
2018-01-20,12,NA,NA,NA,Sat,Weekend
2018-01-20,13,NA,NA,NA,Sat,Weekend
2018-01-20,14,NA,NA,NA,Sat,Weekend
2018-01-20,15,Text Message,1,0,Sat,Weekend
2018-01-20,16,NA,NA,NA,Sat,Weekend
2018-01-20,17,NA,NA,NA,Sat,Weekend
2018-01-20,18,NA,NA,NA,Sat,Weekend
2018-01-20,19,Data,2,2.342912,Sat,Weekend
2018-01-20,20,NA,NA,NA,Sat,Weekend
2018-01-20,21,NA,NA,NA,Sat,Weekend
2018-01-20,22,Text Message,1,0,Sat,Weekend
2018-01-20,23,NA,NA,NA,Sat,Weekend
2018-01-21,0,NA,NA,NA,Sun,Weekend
2018-01-21,1,NA,NA,NA,Sun,Weekend
2018-01-21,2,NA,NA,NA,Sun,Weekend
2018-01-21,3,NA,NA,NA,Sun,Weekend
2018-01-21,4,NA,NA,NA,Sun,Weekend
2018-01-21,5,NA,NA,NA,Sun,Weekend
2018-01-21,6,NA,NA,NA,Sun,Weekend
